"Vintage","Credit Status","Quantity","GSID","Project Name","Project Developer","Country","Project Type","Methodology","Programme of Activities","POA GSID","Product Type","Issuance Date","Monitoring Period Start","Monitoring Period End","Serial Number","Eligible for CORSIA?","Retired for CORSIA?","CORSIA Authorisation","Aeroplane Operator Name"
"2016","Issued","50051","2640","Hezhang Rural Methane Digesters Project in Guizhou Province","Guizhou Honor Carbon Asset Management Co. Ltd","China","Biogas - Heat","AMS-I.C. Thermal energy production with or without electricity","Standalone",,"VER","2019-03-26T00:00","2013-04-28","2016-12-31","GS1-1-CN-GS2640-4-2016-17447-1-50051","No","No","Not Applicable",
"2016","Issued","4701","2429","WWF Ningshan County High Efficient Cook Stove Project","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2019-01-01T00:00","2016-06-01","2017-11-14","GS1-1-CN-GS2429-16-2016-7244-1-4701","No","No","Not Applicable",
"2017","Issued","6986","2429","WWF Ningshan County High Efficient Cook Stove Project","South Pole Carbon Asset Management Ltd.","China","Energy Efficiency - Domestic","AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass","Standalone",,"VER","2019-01-01T00:00","2016-06-01","2017-11-14","GS1-1-CN-GS2429-16-2017-7243-1-6986","No","No","Not Applicable",
"2014","Issued","50001","7049","Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion)","UPM Umwelt-Projekt-Management GmbH","China","Biogas - Heat","AMS-I.I. Biogas/biomass thermal applications for households/small users","VPA","1239","VER","2018-10-30T00:00","2014-03-01","2014-12-31","GS1-1-CN-GS7049-4-2014-7059-1-50001","No","No","Not Applicable",
"2013","Issued","16983","7049","Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion)","UPM Umwelt-Projekt-Management GmbH","China","Biogas - Heat","AMS-I.I. Biogas/biomass thermal applications for households/small users","VPA","1239","VER","2018-10-30T00:00","2013-06-06","2014-02-28","GS1-1-CN-GS7049-4-2013-7058-1-16983","No","No","Not Applicable",
"2014","Issued","33519","7049","Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion)","UPM Umwelt-Projekt-Management GmbH","China","Biogas - Heat","AMS-I.I. Biogas/biomass thermal applications for households/small users","VPA","1239","VER","2018-10-30T00:00","2013-06-06","2014-02-28","GS1-1-CN-GS7049-4-2014-7057-1-33519","No","No","Not Applicable",
"2017","Issued","59296","750","Hebei Yingxin Glass Group Co. Ltd. Glass Furnace Flue Gas Waste Heat To Energy Project (300502)","Swiss Carbon Assets Ltd.","China","Energy Efficiency - Industrial","ACM0012 Waste energy recovery","Standalone",,"VER","2018-10-22T00:00","2017-01-01","2018-05-31","GS1-1-CN-GS750-15-2017-7044-1-59296","No","No","Not Applicable",
"2018","Issued","24726","750","Hebei Yingxin Glass Group Co. Ltd. Glass Furnace Flue Gas Waste Heat To Energy Project (300502)","Swiss Carbon Assets Ltd.","China","Energy Efficiency - Industrial","ACM0012 Waste energy recovery","Standalone",,"VER","2018-10-22T00:00","2017-01-01","2018-05-31","GS1-1-CN-GS750-15-2018-7043-1-24726","No","No","Not Applicable",
"2016","Issued","12816","835","Hunan Guanbaodu-Liangjiangkou Small-scale Hydropower Bundle Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2018-10-08T00:00","2016-01-01","2017-12-31","GS1-1-CN-GS835-14-2016-6900-1-12816","No","No","Not Applicable",
"2017","Issued","12843","835","Hunan Guanbaodu-Liangjiangkou Small-scale Hydropower Bundle Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2018-10-08T00:00","2016-01-01","2017-12-31","GS1-1-CN-GS835-14-2017-6899-1-12843","No","No","Not Applicable",
